"bins","Time_mean","SpO2_mean","SpO2_sem","nBeats","VE_mean","VE_sem","PCO2_mean","PCO2_sem","nBreaths"
"(-98.94,-83.94]",-92.1502836,98.4354166666667,0.029641123969221,15,13.37162971,NA,40.5113678,NA,1
"(-83.94,-68.94]",-76.7897211,97.53515625,0.0679807221256818,16,16.27491331,1.11826944,39.999126435,0.645870205000001,2
"(-68.94,-53.94]",-61.7869086,97.740234375,0.12437077142885,23,11.34291935,NA,38.44012833,NA,2
"(-53.94,-38.94]",-46.2325336,98.318359375,0.0853063351519528,16,14.558042525,0.228982925,39.24189758,0.222713470000002,2
"(-38.94,-23.94]",-31.3544086,97.91796875,0.135222466919872,16,14.62727833,NA,39.30871201,NA,1
"(-23.94,-8.944]",-15.9934264571429,98.4397321428571,0.032671036256696,16,15.92218733,0.465898989999999,39.16394806,0.0779495200000007,2
"(-8.944,6.056]",-1.63598964705882,97.6893382352941,0.102125510612286,19,12.670678615,0.927339075000001,39.085998535,0.0222740150000007,2
"(6.056,21.06]",13.5181277647059,97.7095588235294,0.122057646942416,17,15.07517242,NA,39.5759697,NA,2
"(21.06,36.06]",28.7778336470588,97.5514705882353,0.0803873346196886,17,14.23276424,NA,39.95458221,NA,1
"(36.06,51.06]",43.800716,97.3916666666667,0.0237927768484204,15,15.192064765,0.315108775,39.119405745,0.300664905000001,2
"(51.06,66.06]",58.825591,97.509765625,0.0828134212802528,17,19.78743458,1.82094288,38.362176895,0.345205305,2
"(66.06,81.06]",73.5573826666667,98.3833333333333,0.0330531378334179,17,26.60613632,NA,38.685112,NA,2
"(81.06,96.06]",88.2303826666667,98.3895833333333,0.0229976922582756,17,31.92100716,2.82211113,40.25524521,0.278392790000002,2
"(96.06,111.1]",103.502245411765,99.2628676470588,0.0836750490936841,17,33.49801731,3.15102291,41.045883175,0.356342314999999,2
"(111.1,126.1]",119.627177538462,99.4254807692308,0.0402718970292598,15,39.623752595,0.679187775000002,41.068153385,0.356342314999999,1
"(126.1,141.1]",133.608716,99.3145833333333,0.0237144679903111,16,37.84956741,NA,41.60266495,NA,2
"(141.1,156.1]",148.500480705882,99.3639705882353,0.0252715571413006,16,47.32250786,0.451341630000002,42.348760605,0.0556774150000017,1
"(156.1,171.1]",163.103382666667,99.3916666666667,0.0245621377553158,16,38.98304176,4.26722145,42.070365905,0.623596195000001,2
"(171.1,186.1]",177.716408307692,99.4447115384615,0.0330328464901022,16,38.82925415,NA,43.2730217,NA,1
"(186.1,201.1]",193.519716,99.4416666666667,0.0306287453168186,14,37.270275115,1.164024355,42.571474075,0.233850475000001,2
"(201.1,216.1]",208.395716,99.3875,0.0287383516775555,17,34.384458545,0.0821056349999978,41.936738965,0.289525985000001,2
"(216.1,231.1]",223.458716,99.4174107142857,0.036714404971051,17,39.33193016,0.232500080000001,41.81424713,0.0556755100000004,1
"(231.1,246.1]",238.320591,99.42578125,0.0303080699082357,15,37.23064041,NA,40.95679855,NA,2
"(246.1,261.1]",253.456573142857,99.4196428571429,0.0288788407165229,15,37.95965385,5.64538002,42.638284685,0.590192795,1
"(261.1,276.1]",268.2915285,99.4453125,0.0307908984455364,15,41.49628258,2.34441948,44.52022171,0.0890846300000021,2
"(276.1,291.1]",283.6477785,99.369140625,0.0281277125428042,17,40.61207199,1.72053528,43.484601975,0.122491835000002,2
"(291.1,306.1]",298.8621535,99.41796875,0.0286517512826441,13,44.89703178,1.01112938,43.762994765,0.133630754999999,2
"(306.1,321.1]",313.692716,99.3916666666667,0.0295468420142639,15,45.810094835,0.790800095000002,44.1861515,0.111360550000001,1
"(321.1,336.1]",329.756573142857,99.3973214285714,0.0266997246118478,17,40.573551175,1.753170015,43.673906325,0.356340405000001,2
"(336.1,351.1]",343.993382666667,99.4145833333333,0.0285217822635975,15,43.77764511,0.227355960000001,44.43113327,0.244987490000003,2
"(351.1,366.1]",358.351841,99.359375,0.030724752507818,13,45.39255524,0.975147245614794,43.80753581,0.26725642,1
"(366.1,381.1]",373.489304235294,99.3786764705882,0.0205623688613944,15,44.86372757,2.83083725,43.139396665,0.623600005,2
"(381.1,396.1]",388.478716,99.4151785714286,0.0293788304560255,14,42.690275195,1.391111375,43.573688505,0.189308165,2
"(396.1,411.1]",403.533382666667,99.4625,0.0246251661826638,14,47.688312535,3.731609345,44.386590955,0.356344225000001,2
"(411.1,426.1]",418.5102785,99.408203125,0.0329571155913098,16,43.15822029,0.0901889800000006,43.673906325,0.601327895000001,2
"(426.1,441.1]",433.7165285,99.40234375,0.0209388603413804,16,52.73970413,6.08381653,45.399942395,0.033403394999997,2
"(441.1,456.1]",447.793716,99.3823529411765,0.0286773543415858,16,43.81794357,NA,45.74514771,NA,2
"(456.1,471.1]",464.1059035,99.37109375,0.0240162908577178,15,49.914434435,6.495061875,46.9478035,0.200443270000001,2
"(471.1,486.1]",478.8190285,99.376953125,0.0277270383488565,14,47.438951495,0.571207044999998,45.500164035,0.356342314999999,2
"(486.1,501.1]",494.032245411765,99.40625,0.0329282796280751,15,52.56798744,1.03684044,45.778554915,0.345209125,2
"(501.1,516.1]",509.0334035,99.37109375,0.0264358192432635,16,47.73117638,2.11773491,45.622657775,0.300662995,3
"(516.1,531.1]",524.250639076923,99.4278846153846,0.029473676534855,14,59.8933506,9.25881767,45.71174431,0.412019729999997,2
"(531.1,546.1]",538.743160444444,99.4375,0.0200527796224921,15,51.286258695,1.473831175,45.867641445,0.389751434999997,2
"(546.1,561.1]",553.610480705882,99.4227941176471,0.032057316225359,16,57.344747545,5.334424975,46.268527985,0.211578365000001,2
"(561.1,576.1]",568.844304235294,99.3823529411765,0.0289266635695886,17,53.76967621,2.00210571,45.47789383,0.17816925,1
"(576.1,591.1]",583.373716,99.4040178571429,0.0344302574281671,16,51.253435135,2.057558055,46.290800095,0.367479325000001,2
"(591.1,606.1]",599.052049333333,99.390625,0.0257954042399409,16,1.546874166,NA,45.56697464,NA,2
"(606.1,621.1]",613.734585565217,99.4157608695652,0.0227795733502839,16,NA,NA,NA,NA,NA
"(621.1,636.1]",628.801897818182,99.4232954545455,0.026944099159846,13,NA,NA,NA,NA,NA
"(636.1,651.1]",644.215144571429,99.4285714285714,0.0248828035310458,18,NA,NA,NA,NA,NA
"(651.1,666.1]",658.718034181818,99.3636363636364,0.0232207650722184,17,NA,NA,NA,NA,NA
"(666.1,681.1]",673.392216,99.2,0.0897845557285239,14,NA,NA,NA,NA,NA
"(681.1,696.1]",688.2609035,98.822265625,0.137248786554954,18,NA,NA,NA,NA,NA
"(696.1,711.1]",703.425031789474,99.0032894736842,0.121640123070588,22,NA,NA,NA,NA,NA
