"bins","Time_mean","SpO2_mean","SpO2_sem","MAP_mean","MAP_sem","MCAv_mean","MCAv_sem","PCAv_mean","PCAv_sem","HR_mean","HR_sem","nBeats","Volume_mean","Volume_sem","VT_mean","VT_sem","Fb_mean","Fb_sem","VI_mean","VI_sem","VE_mean","VE_sem","PETCO2_mean","PETCO2_sem","PETO2_mean","PETO2_sem","VO2_mean","VO2_sem","VCO2_mean","VCO2_sem","RER_mean","RER_sem","PO2_mean","PO2_sem","PCO2_mean","PCO2_sem","nBreaths"
"(3002,3017]",3008.85347190909,95.4,0,95.2,0.7,61,0.9,36.6,1,79.5,1,22,1.4,0.6,-1.6,0.2,6.2,0.1,11.2,1.6,11.1,1.6,39.2,0.3,94.7,1,0,0,0,0,1,0,96.7,2.4,38.5,0.8,2
"(3017,3032]",3024.771881,95.4,0,98.3,1.1,61.4,1.5,36.8,0.8,67.4,1.2,18,1.5,NA,-1.6,NA,6.3,NA,10.8,NA,10.7,NA,39,NA,95.7,NA,0,NA,0,NA,1,NA,96.1,NA,38.9,NA,1
"(3032,3047]",3040.54807147619,95.5,0,96.7,0.9,64.9,0.9,38.3,0.4,69.8,0.8,21,1.6,0.1,-1.5,0,6.4,0.5,10.3,1,10.2,1,39.7,0,32,6.9,0,0,0,0,1,0,83.1,13.5,39,0.6,2
"(3047,3062]",3054.15621433333,95.4,0,102.9,1.1,69.1,1.2,39.4,0.7,71.1,2.2,15,1.5,0.3,-2,0.5,7.1,0.3,15.3,3,14.9,2.8,37.4,0.5,10.1,9.3,1,0,0,0,1,0,45.5,5,37.3,0.4,2
"(3062,3077]",3069.958131,95.4,0,107.5,1.5,69.3,0.8,42.1,0.3,80.7,1.6,20,2.7,NA,-2,NA,0.4,NA,0.9,NA,0.9,NA,33.2,NA,0.8,NA,0,NA,0,NA,0,NA,31.5,NA,33,NA,1
"(3077,3092]",3084.778756,95.4,0,93.2,2.1,59.7,0.7,35.2,0.5,98.5,1.3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3092,3107]",3099.415481,92,0.8,88.4,2,54.7,0.6,32.3,0.8,90.8,0.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3107,3122]",3115.11473814286,91.8,0.5,100.6,1.2,56.5,0.7,30.5,0.4,82.8,1.2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3122,3137]",3129.71259528571,94.6,0.1,91,0.8,59.2,0.4,33.5,0.3,81.2,0.4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3137,3152]",3144.89083933333,95.4,0.1,87.7,1.3,55.6,0.6,32.8,0.4,89.3,0.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3152,3167]",3159.08854766667,95.4,0,92.4,1.4,57.6,0.6,32.7,0.3,80.6,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3167,3182]",3174.04847190909,95.5,0,95.7,0.6,60.8,0.8,34.9,0.5,80.6,1.3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3182,3197]",3188.67483554545,95.8,0.1,97.4,1.4,59.6,0.6,34.6,0.3,81.5,1.4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3197,3212]",3204.79661784211,95.8,0.1,99.7,1.2,60.2,0.9,34,0.5,77.6,0.7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(3212,3227]",3220.121881,96.3,0.1,101.2,0.7,56.6,0.8,32.5,0.4,75.4,0.8,19,1.7,0.5,-1.8,0.1,8.4,1.8,16.7,3.2,15.2,2.9,34.7,0.9,108.4,0.7,2,0,0,0,0,0,109.6,0.8,32.7,0.5,3
"(3227,3242]",3234.434381,96.5,0,100.1,0.8,56.5,1.1,31.9,0.6,73,1.9,20,2,NA,-2,NA,6.3,NA,13.5,NA,12.9,NA,36.6,NA,206.5,NA,1,NA,0,NA,0,NA,207.5,NA,36.4,NA,1
"(3242,3257]",3249.30767047368,96,0.1,92.7,0.9,63,0.9,35,0.6,69.5,1.1,19,1.9,0.2,-1.8,0,6.2,0,12.4,0,13.1,0.6,37.7,0,82.4,0.1,0,0,0,0,0,1,199.5,21.8,37.1,0.4,2
"(3257,3272]",3264.12541041176,96.7,0.1,97.9,1,64,1,34,0.7,66.8,1.1,17,1.6,NA,-1.6,NA,5.7,NA,9.7,NA,11.1,NA,37.7,NA,118.7,NA,-1,NA,0,NA,0,NA,153.8,NA,37.5,NA,1
