SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
0.40625	#NUM!	#NUM!	#NUM!	100.8325882	-1.0390625	#NUM!	#NUM!	#NUM!	145.6587677	0.561378419	146.7488251	47.51948929	27.13131523	60.81060028	729.4879761	4207.23801
0.4375	#NUM!	#NUM!	#NUM!	100.9088516	-10.40490627	#NUM!	#NUM!	#NUM!	145.3071289	0.606786192	146.7488251	49.10971069	28.88248062	65.01892853	729.4879761	4208.21301
0.375	#NUM!	#NUM!	#NUM!	100.9088516	-10.40490627	#NUM!	#NUM!	#NUM!	145.1972351	0.584082305	35.47362137	49.10971069	28.88248062	64.01759338	729.4879761	4208.42801
0.4375	#NUM!	#NUM!	#NUM!	100.671875	-10.57744694	#NUM!	#NUM!	#NUM!	145.2411957	0.624949336	43.9491806	51.23952866	29.95171928	68.4272995	729.4879761	4209.35801
0.40625	#NUM!	#NUM!	#NUM!	110.2483978	-1.130744457	#NUM!	#NUM!	#NUM!	145.2192078	0.615867794	43.9491806	53.63087082	29.98946381	68.4272995	729.4879761	4210.03801
0.4375	#NUM!	#NUM!	#NUM!	110.2483978	-1.130744457	#NUM!	#NUM!	#NUM!	145.6367798	0.595434248	38.98651505	53.63087082	29.98946381	68.10175323	729.4879761	4210.42801
0.34375	#NUM!	#NUM!	#NUM!	110.2483978	-1.130744457	#NUM!	#NUM!	#NUM!	145.6587677	0.618138135	38.98651505	53.69773865	30.09623528	68.10175323	729.4879761	4211.03801
0.40625	#NUM!	#NUM!	#NUM!	110.2483978	-1.130744457	#NUM!	#NUM!	#NUM!	145.2631683	0.638571739	1.140891075	55.09664154	30.07054138	69.6439209	729.4879761	4211.41301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.285141	0.656734884	-0.567708314	55.47884369	30.40489197	75.69018555	729.4879761	4213.46801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4389801	0.656734884	-0.506944418	55.47884369	30.40489197	76.53540039	729.4879761	4213.58801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3950348	0.64311254	-0.2109375	55.47884369	30.40489197	76.53540039	729.4879761	4213.63301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.460968	0.636301279	-0.239583328	55.47884369	30.40489197	76.53540039	729.4879761	4213.65301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4829407	0.64311254	-0.170454547	55.47884369	30.40489197	76.53540039	729.4879761	4213.66801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.285141	0.652194023	0.0546875	55.47884369	30.40489197	76.53540039	729.4879761	4213.72301
0.46875	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2411957	0.686249912	0.086397059	55.47884369	30.40489197	76.53540039	729.4879761	4213.76301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.460968	0.661275625	0.280133933	55.47884369	30.40489197	76.53540039	729.4879761	4213.84801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.652194023	-0.139204547	57.25665283	32.68952942	76.53540039	729.4879761	4213.98801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3291016	0.661275625	0.247159094	57.25665283	32.68952942	76.53540039	729.4879761	4214.04301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.460968	0.693061113	-0.3125	57.25665283	32.68952942	76.53540039	729.4879761	4214.09801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6587677	0.672627628	0.09765625	57.25665283	32.68952942	76.53540039	729.4879761	4214.11801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.87854	0.67716831	-0.143749997	57.25665283	32.68952942	76.53540039	729.4879761	4214.15801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.9005127	0.670357168	-0.336397052	57.25665283	32.68952942	76.53540039	729.4879761	4214.18301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3510742	0.636301279	-0.680555582	57.25665283	32.68952942	76.53540039	729.4879761	4214.26801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3510742	0.654464483	-0.049107142	57.25665283	32.68952942	76.53540039	729.4879761	4214.31301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5488739	0.674897969	-0.333333343	57.25665283	32.68952942	77.54374695	729.4879761	4214.34801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.634030938	-0.03125	57.25665283	32.68952942	77.54374695	729.4879761	4214.36301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.634030938	0.133680552	57.25665283	32.68952942	77.54374695	729.4879761	4214.41801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5049133	0.67943871	0.212797612	57.25665283	32.68952942	77.54374695	729.4879761	4214.50801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.7466736	0.620408595	0.298437506	57.25665283	32.68952942	77.54374695	729.4879761	4214.61301
0.46875	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5049133	0.615867794	0.15625	57.7131424	32.16883087	77.54374695	729.4879761	4214.71301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4389801	0.631760597	-0.169270828	57.7131424	32.16883087	77.54374695	729.4879761	4214.73301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.663546026	0.028409092	57.7131424	32.16883087	77.54374695	729.4879761	4214.79301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6587677	0.67716831	-0.149305552	57.7131424	32.16883087	77.54374695	729.4879761	4214.84801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.645382881	-0.192708328	57.7131424	32.16883087	77.54374695	729.4879761	4214.93801
0.34375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1532745	0.638571739	-0.098958336	57.7131424	32.16883087	77.54374695	729.4879761	4214.96801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.631760597	-0.544642866	57.7131424	32.16883087	77.54374695	729.4879761	4214.99801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9994354	0.672627628	0.004464286	57.7131424	32.16883087	79.07032013	729.4879761	4215.10301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.0653687	0.64311254	-0.181250006	57.7131424	32.16883087	79.07032013	729.4879761	4215.13801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1313019	0.661275625	0.105902776	57.7131424	32.16883087	79.07032013	729.4879761	4215.18801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.6367798	0.64311254	-0.09375	57.7131424	32.16883087	79.07032013	729.4879761	4215.27801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.652194023	0.20738636	57.7131424	32.16883087	79.07032013	729.4879761	4215.30301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1972351	0.665816367	0.024639424	57.7131424	32.16883087	79.07032013	729.4879761	4215.35801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3071289	0.670357168	146.7960358	52.08073044	28.78513145	78.16958618	729.4879761	4217.43801
0.4375	#NUM!	#NUM!	#NUM!	111.8459702	-12.01671124	#NUM!	#NUM!	#NUM!	145.0873413	0.774795175	146.7960358	53.34124374	31.22085953	68.84145355	729.4879761	4222.03801
0.46875	#NUM!	#NUM!	#NUM!	111.923851	-12.33367443	#NUM!	#NUM!	#NUM!	145.1972351	0.777065516	146.7960358	52.87176895	31.77294159	68.25444031	729.4879761	4223.03801
0.375	#NUM!	#NUM!	#NUM!	111.923851	-12.33367443	#NUM!	#NUM!	#NUM!	145.3071289	0.75663203	39.14768219	51.37104797	32.296875	68.25444031	729.4879761	4223.42801
