SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
0.40625	-1.278603792	4.767580509	6.712984562	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	106.0988464	35.18029785	0.31081906	57.74042511	30.19902992	68.28499603	729.4879761	4257.73301
0.4375	-0.78201133	21.73913002	18.72133446	100.6570282	-0.851262033	0.0861516	-0.002317257	-0.026897438	106.0329208	37.20094681	55.09199524	49.74964905	32.19677353	66.43801117	729.4879761	4270.31801
0.40625	-1.509980559	3.506721258	5.831150532	#NUM!	#NUM!	0.027083397	-0.000743329	-0.027445938	106.3406067	35.9499588	0.261672586	48.73574829	34.71180725	66.19264984	729.4879761	4273.07801
0.4375	-1.008408666	15.28662395	16.97578049	#NUM!	#NUM!	0.07923317	-0.001636193	-0.020650357	104.8461151	38.39744186	-0.09375	52.87271881	28.4538784	68.948349	729.4879761	4290.18801
0.4375	-1.062029839	13.42281914	15.69864082	#NUM!	#NUM!	0.073397398	-0.002349216	-0.0320068	105.1318283	37.08288574	146.8407288	48.45727158	25.33374977	64.56958008	729.4879761	4294.11301
0.4375	-0.801658511	13.5746603	11.98395061	108.0487747	-8.010907173	0.055222034	-0.002809552	-0.050877374	106.1647797	36.37906647	2.470274448	50.42423248	27.93584061	65.1775589	729.4879761	4298.58301
0.4375	-0.597840011	16.30434799	10.73420906	#NUM!	#NUM!	0.046439767	-0.003486897	-0.075084299	104.4944839	37.04882813	0.868505478	50.83646393	28.1858387	62.72618866	729.4879761	4303.00301
0.4375	-0.693152964	10.86956501	8.297034264	#NUM!	#NUM!	0.036548853	-0.004271889	-0.116881616	102.6263657	37.9819603	0.131358564	52.97927475	29.46064186	63.85631943	729.4879761	4306.68301
0.375	-0.797352433	14.38848877	12.63418198	109.5081635	-1.255468726	0.055267334	-0.009910664	-0.179322273	98.07698059	38.85832977	146.8350067	48.93814468	28.13089943	63.79710007	729.4879761	4312.20301
0.4375	-0.92765677	5.221931934	5.334578991	109.615303	-10.15446854	0.028289557	-0.005364192	-0.189617395	98.71432495	38.4042511	39.97453308	54.23370361	31.09963989	63.68450546	729.4879761	4316.37301
0.4375	-0.821861029	11.61665058	10.51383018	111.2872238	-11.48702526	0.045203686	-0.007346197	-0.162513226	94.8682251	39.43046951	146.8359985	63.37837219	34.3493309	69.50726318	729.4879761	4327.86301
0.4375	-0.887947798	15.7687254	15.41933537	#NUM!	#NUM!	0.065768003	-0.008558028	-0.130124494	96.53853607	38.44284821	0.430743247	61.44709015	33.89078522	65.65822601	729.4879761	4333.02801
0.4375	-0.910456419	3.847387075	3.857506275	#NUM!	#NUM!	0.016127944	-0.002417115	-0.149871245	98.38465881	37.35760117	-0.027854938	60.03410721	32.09564972	66.62866974	729.4879761	4336.83301
0.46875	-1.270852327	9.884678841	13.83372879	#NUM!	#NUM!	0.059080362	-0.00860594	-0.14566499	94.31879425	40.51344681	1.408444285	58.87412643	28.29474449	68.6721344	729.4879761	4352.42801
0.375	-1.247524858	6.764374256	9.293054581	100.6886368	-1.208767414	0.039651632	-0.005385767	-0.135827109	97.17588806	38.4087944	28.23970795	59.48723221	31.38953972	65.91965485	729.4879761	4358.49801
0.375	-0.65396142	12.32032871	8.872704506	#NUM!	#NUM!	0.036586642	-0.004683927	-0.128022865	99.72531128	38.05688477	0.345650852	62.03022003	32.01902008	67.79664612	729.4879761	4367.36801
0.375	-0.833904803	16.80672264	15.43409348	100.7513046	-0.976004481	0.059943676	-0.008705564	-0.145229057	99.39564514	38.10229111	146.7719879	59.1230011	29.0147171	69.61230469	729.4879761	4372.23801
0.4375	-0.729232192	11.08033276	8.898160934	100.6252594	-0.918252826	0.034247637	-0.012251092	-0.357720792	99.46157837	37.51198959	40.03953171	57.83982086	29.51264381	72.72332001	729.4879761	4375.80801
99.1875	-1.14788878	11.27819538	14.25676632	#NUM!	#NUM!	0.057025671	-0.041514918	-0.728004038	97.35170746	38.64491272	0.323090702	52.74882889	28.92460251	65.12548828	729.4879761	4381.22301
97.25	-0.756977141	2.392344475	1.994288921	#NUM!	#NUM!	0.01949358	-0.008706948	-0.446657211	99.5275116	37.59599304	146.8560333	57.81398773	30.6233387	63.57226944	729.4879761	4386.54301
98.34375	-1.780104637	8.869179726	17.38643646	#NUM!	#NUM!	0.08024478	-0.002424073	-0.030208487	90.62653351	41.29219055	0.13627176	64.26940155	32.42235184	67.60974121	729.4879761	4411.62301
98.40625	-0.905937135	13.90498257	13.8723526	100.6581039	-1.001655221	0.063924789	-0.00111008	-0.017365413	98.64839935	36.81951904	146.8117676	56.4189682	31.45653725	68.86070251	729.4879761	4418.38801
98.46875	-1.337849975	11.58301163	17.06516647	#NUM!	#NUM!	0.077339888	-0.001099652	-0.01421843	98.2308197	37.81394958	0.404156327	62.97712326	36.0632782	77.7516861	729.4879761	4422.70301
97.28125	-1.230941892	11.37440777	15.41870689	#NUM!	#NUM!	0.070395947	-0.001086774	-0.015438017	100.560463	37.23273087	134.841156	55.49081039	29.9077301	64.14481354	729.4879761	4427.88301
97.53125	-1.262900472	8.875740051	12.3439827	#NUM!	#NUM!	0.056220531	-0.00111179	-0.019775517	101.8131943	37.10559082	134.841156	51.11413193	30.46114922	66.06587982	729.4879761	4433.15801
97.5	-1.035050869	12.35839367	14.08657265	122.0947952	40.16735077	0.063406467	-0.001834707	-0.028935647	100.978035	37.8094101	60.0803299	48.04880905	25.92361069	57.94344711	729.4879761	4439.91801
97.40625	-1.214106798	8.522727013	11.39507198	122.0947952	40.16735077	0.049739838	-0.002077766	-0.041772664	102.428566	37.06926346	89.46986389	51.38823318	27.35608482	63.02614212	729.4879761	4444.77301
97.34375	-1.217157602	9.456264496	12.67500305	111.46772	37.78645706	0.055003405	-0.003078979	-0.055977963	100.340683	38.51550293	56.8947525	46.62666321	24.62221909	64.93648529	729.4879761	4451.81301
97.4375	-1.128494859	9.174311638	11.40130901	127.4859924	46.93732834	0.047886252	-0.00276602	-0.057762302	100.8681488	38.25667572	66.16864777	50.31888199	27.38763237	63.93588638	729.4879761	4458.15801
97.46875	-0.999902308	8.124576569	8.946227074	124.3780136	44.56498718	0.037537813	-0.002076031	-0.05530506	100.5824432	38.27256775	63.92602921	49.57689667	27.07854271	63.55044556	729.4879761	4464.69801
97.40625	-1.218554378	7.067137718	9.483530998	114.7433395	42.93638229	0.040547609	-0.002501556	-0.061694283	97.76929474	39.63934708	61.47888184	50.70996475	26.1131115	65.15766144	729.4879761	4472.08301
97.21875	-1.13235569	6.546644688	8.163628578	112.976265	43.49685669	0.035629749	-0.002310718	-0.064853616	96.34074402	39.84822083	61.5770607	53.57435989	27.53830147	63.49394226	729.4879761	4480.57301
97.625	-1.196674705	6.582556248	8.674656868	117.671875	43.17346573	0.037531734	-0.002189682	-0.058342151	94.78031921	40.22737885	71.56720734	50.08066177	26.07475853	65.21104431	729.4879761	4489.73801
97.375	-0.877504706	9.426551819	9.109277725	114.5997009	42.98987198	0.037637115	-0.002202757	-0.058526196	94.36274719	40.0525589	61.41901016	51.2887764	26.72836494	66.28936768	729.4879761	4498.85301
96.5	-0.810878813	9.309542656	8.313156128	116.5994339	46.96559906	0.033076048	-0.001997944	-0.060404561	93.24187469	40.01850128	66.13085938	53.97222137	29.47783852	63.01039505	729.4879761	4505.21801
96.25	-0.723801732	10.49868774	8.368281364	123.1675873	48.16735077	0.032750249	-0.001953718	-0.059655044	91.61553192	40.49528122	67.55888367	55.28455734	27.74160385	63.15654373	729.4879761	4511.66301
96.375	-1.287752271	8.49256897	12.04350853	120.9097443	48.00616455	0.046501279	-0.002670844	-0.057435926	89.04412842	41.08558273	67.02603912	58.31266022	30.97277641	65.49451447	729.4879761	4517.37801
96.4375	-0.999625325	9.569377899	10.53422451	143.6949005	45.58203125	0.041163087	-0.002187611	-0.053144965	93.6155014	39.56215286	67.55648041	55.36038208	30.84725952	65.04756165	729.4879761	4524.44301
96.1875	-0.738979757	12.12121201	9.864162445	120.4379807	43.96780014	0.038752913	-0.001941232	-0.050092548	94.01110077	39.63934708	62.93530273	53.6085434	29.36689758	63.75928879	729.4879761	4530.71301
96.5	-0.860104919	9.646302223	9.136795998	118.9842529	48.38750076	0.035798907	-0.001710847	-0.047790494	92.60453033	39.87319565	67.87626648	57.18259048	29.85816002	61.94665909	729.4879761	4535.66301
96.34375	-1.262357712	8.547008514	11.88168907	126.2021713	53.58984375	0.047151446	-0.002123278	-0.04503103	90.71443939	40.81086731	73.04075623	59.75624847	29.75750732	63.28096771	729.4879761	4541.88301
96.5625	-0.68358475	15.91511917	11.98074627	131.15625	40.60585022	0.049348593	-0.002384724	-0.048324049	94.09900665	39.08309937	61.484375	52.05021667	29.66343307	71.76196289	729.4879761	4548.90301
96.28125	-1.209770203	7.899934292	10.52465725	124.9526596	47.31594849	0.045204401	-0.002266067	-0.050129335	93.08803558	39.40322495	67.11446381	57.55788803	30.1785717	66.59469604	729.4879761	4552.67301
96.28125	-0.64955616	13.15789509	9.412061691	145.761261	53.90625	0.0404073	-0.001894942	-0.046896026	91.989151	40.32273102	75.59928894	55.63313293	28.14447212	61.43249512	729.4879761	4560.26801
96.25	-1.049619198	12.53918457	14.49381447	139.1846924	46.87109375	0.060081959	-0.002410406	-0.040118631	90.38477325	40.59518051	67.65608215	54.95624924	29.61148643	63.99162674	729.4879761	4564.82801
