Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	%O2	%CO2	cm/s	cm/s	d(L)	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	d(s)	 
-0.194568276	20.96495804	0.042697418	0.15625	-1.950317664	0.46875	21.63088226	0.104104444	0.0625	0.09375	2.130206227	-2.991935968	11.78781891	39.12656021	39.428936	21.08745003	0.042697418	#NUM!	#NUM!	-0.211613178	0.019255966	-0.090996064	142.7638092	0.29075405	0.18509616	0.081249997	0.140625	3647.686035	23.89999962	20	727.9639893	4.430587769	0	 
-0.081447192	21.08744956	0.036183175	0.21875	-2.092431394	0.5	21.63130379	0.103914641	0.125	0.125	2.118104815	-3.000596762	10.98901081	36.58071518	36.85224915	21.11807251	0.036183175	#NUM!	#NUM!	-0.195981503	0.017974209	-0.091713801	143.5979462	0.246394381	0.194444448	0.052083332	0.078125	3584.912354	23.89999962	20	727.9639893	4.430587769	5.09	 
-0.021870077	21.05682668	0.052468783	0.15625	-1.954625583	0.46875	21.63142014	0.103785455	0.09375	-0.03125	2.145838618	-3.078276157	11.1627903	38.12117767	38.41429901	21.08745003	0.04595454	#NUM!	#NUM!	-0.20534277	0.018386889	-0.089542426	143.3894196	0.357293516	0.1796875	0.064583331	0.079861112	3631.945557	23.89999962	20	727.9639893	4.430587769	10.55	 
-0.141778439	20.99558092	0.052468783	0.1875	-2.083434745	0.5	21.63132477	0.103722736	0.15625	0.1875	2.159384608	-3.021344662	11.81102371	39.58892822	39.86392975	21.14869499	0.042697418	#NUM!	#NUM!	-0.206515789	0.018699657	-0.090548314	142.9723511	0.357293516	0.192934781	0.046875	0.100000002	3621.134277	23.89999962	20	727.9639893	4.430587769	15.925	 
-0.170435786	21.05682668	0.049211661	0.1875	-2.093050211	0.5	21.6313076	0.103850715	0.03125	0.125	2.137377381	#NUM!	#NUM!	#NUM!	#NUM!	21.17931747	0.042697418	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.3894196	0.335113704	0.190340906	0.100000002	0.106250003	3582.557861	23.89999962	20	727.9639893	4.430587769	21.005001	 
-0.018853515	21.0262038	0.042697418	0.15625	-2.019863187	0.4375	21.62430954	0.104780711	-0.09375	0.03125	20.5095104	-0.069846019	4.210526466	0.32626012	0.329025596	21.02620316	0.039440297	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.1808777	0.29075405	0.174999997	-0.003125	0.006944444	1193.652588	23.89999962	20	727.9639893	4.430587769	868.149859	 
-0.015082813	21.05682668	0.045954539	0.1875	-2.020458203	0.46875	21.62411118	0.104660258	0.09375	-0.03125	15.67158163	-0.038233601	4.530011177	0.192145586	0.193706274	21.05682755	0.036183175	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.3894196	0.312933862	0.191964284	-0.020833334	0.010416667	1197.946655	23.89999962	20	727.9639893	4.430587769	882.399859	N2
-0.014328672	21.0262038	0.036183175	0.15625	-2.020386801	0.4375	21.62442398	0.105042383	0	0.09375	16.03908956	-0.072192609	7.042253494	0.564014554	0.56882143	21.02620316	0.036183175	#NUM!	#NUM!	-0.003519408	0.000305804	-0.08689066	143.1808777	0.246394381	0.1875	0.009191177	0	1199.904175	23.89999962	20	727.9639893	4.430587769	895.644859	N2
-0.021870077	20.99558092	0.036183175	0.1875	-2.022695465	0.4375	21.62431335	0.105368674	0.03125	-0.03125	7.34749639	-0.034493912	2.380952358	0.091112733	0.091889516	21.02620316	0.036183175	#NUM!	#NUM!	-0.000540942	4.94E-05	-0.091265917	142.9723511	0.246394381	0.184027776	0	0.017361112	1207.645874	23.89999962	20	727.9639893	4.430587769	904.164859	O2
-0.043740153	21.0262038	0.23161047	0.15625	-2.020220197	0.46875	21.6241951	0.105401345	-0.09375	-0.0625	4.901325107	-0.136239514	4.995836735	0.755087495	0.760405302	21.14869499	0.029668931	#NUM!	#NUM!	-0.003813505	0.000303319	-0.079538092	143.1808777	1.577183962	0.1953125	-0.018750001	0.0125	1199.060669	23.89999962	20	727.9639893	4.430587769	929.364859	O2
-0.039969452	20.90371228	0.052468783	0.15625	-2.02286207	0.40625	21.62487411	0.106063157	-0.09375	0.09375	0.748823524	-0.010288288	7.25075531	0.082758442	0.083458453	21.02620316	0.042697418	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.346756	0.357293516	0.1875	0.009375	-0.018750001	1198.00708	23.89999962	20	727.9639893	4.430587769	941.374859	CO2
-0.022624219	20.96495804	0.052468783	0.15625	-2.022362256	0.40625	21.62487411	0.106063157	0.03125	0	10.5884155	#NUM!	#NUM!	#NUM!	#NUM!	21.02620316	0.04595454	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7638092	0.357293516	0.180803567	-0.003125	0.011363637	1200.131836	23.89999962	20	727.9639893	4.430587769	949.649859	CO2
