Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	d(%CO2)	mmHg	V	%	%O2	%CO2	cm/s	cm/s	L	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	d(s)	 
-0.092569031	20.95267848	-3.728724956	0.09375	-2.01745932	0.40625	0.540231288	4.10079813	0.03125	-0.09375	2.007828712	-0.004376293	2.557544708	0.012466417	0.010317689	21.04464912	0.032582182	#NUM!	#NUM!	0.002029306	0.00033179	0.163499445	142.9995117	0.266859174	-0.113839284	0.01171875	-0.041666668	#NUM!	22.79999924	20	729.4879761	4.144955158	0	 
0.01517525	20.95267848	-3.738503081	-0.1875	-2.016197885	0.4375	0.521653056	4.100811005	0	0.03125	0.760735989	#NUM!	#NUM!	#NUM!	#NUM!	21.01399231	0.026063435	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.9995117	0.200124636	-0.161764711	0.028124999	-0.010416667	#NUM!	22.79999924	20	729.4879761	4.144955158	23.46	 
0.087257683	21.01399248	-3.731984331	-0.71875	-2.01745932	0.4375	0.399885476	4.100801945	0.03125	-0.03125	3.097091198	-3.00211215	14.16765022	47.37363434	39.1690712	21.01399231	0.026063435	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.4179688	0.244614333	-0.208333328	0.004464286	-0.050000001	#NUM!	22.79999924	20	729.4879761	4.144955158	383.226719	 
0.385451347	20.95267848	-3.722206206	-0.5	-2.016935706	0.40625	0.399242371	4.10080719	0.0625	0	3.098066092	-2.992723942	12.91711521	43.05704117	35.58012772	21.04464912	0.039100934	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.9995117	0.311348856	-0.3125	-0.020833334	-0.043749999	#NUM!	22.79999924	20	729.4879761	4.144955158	387.461719	 
-0.018210299	21.04464949	-3.725465581	0.375	-2.020791412	0.46875	0.398388028	4.100812435	-0.03125	0	3.100941896	-2.979696512	11.69590664	38.81663895	32.07844162	21.04464912	0.032582182	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.6271973	0.289104015	0.061079547	0.03125	-0.025	#NUM!	22.79999924	20	729.4879761	4.144955158	392.106719	 
-0.487125516	20.98333548	-3.725465581	0.03125	-2.016769101	0.40625	0.397300333	4.100814342	0	0	3.119638443	#NUM!	#NUM!	#NUM!	#NUM!	21.01399231	0.04236031	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.2087402	0.289104015	0.159926474	0.013392857	-0.004464286	#NUM!	22.79999924	20	729.4879761	4.144955158	397.236719	 
-0.041731939	20.98333548	-3.735243706	0	-2.017292716	0.4375	0.312652051	4.100633144	0.0625	0.03125	22.51417542	-0.123817466	3.381234169	0.466303974	0.385177106	21.01399231	0.029322809	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.2087402	0.222369492	0.191249996	0.021875	-0.010416667	#NUM!	22.79999924	20	729.4879761	4.144955158	1223.04643	 
-0.040973175	21.01399248	-3.722206206	-0.34375	-2.016602497	0.40625	0.309361726	4.100651741	0.03125	0.03125	23.14801979	-0.204203963	2.579535723	0.586702168	0.484572023	21.01399231	0.035841558	#NUM!	#NUM!	0.096371971	0.015561527	0.161473572	143.4179688	0.311348856	0.122282609	0	-0.015625	#NUM!	22.79999924	20	729.4879761	4.144955158	1240.79143	N2
